ID,Delivery_person_ID,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Road_traffic_density,Type_of_order,order_count,City,Time_taken (min),cluster
0x2784,PUNERES13DEL03,18.633313,74.014893,04-03-2022,17:30,17:40,Medium,Drinks,2.0,Metropolitian,21,0
0x689b,PUNERES20DEL01,18.67548,73.878706,16-03-2022,20:30,20:40,Jam,Snack,2.0,Metropolitian,40,1
0x36b8,PUNERES19DEL02,18.615501,74.000891,16-03-2022,20:20,20:25,Jam,Snack,3.0,Metropolitian,36,0
0x3c5e,PUNERES04DEL01,18.602435,73.946632,02-04-2022,23:35,23:45,Low,Buffet,1.0,Urban,12,0
0x30c8,PUNERES19DEL02,18.671768,74.044602,02-04-2022,22:35,22:45,Low,Drinks,2.0,Metropolitian,30,0
0xb843,PUNERES02DEL01,18.593304,73.880836,08-03-2022,18:55,19:10,Medium,Snack,2.0,Metropolitian,22,2
0xb3a0,PUNERES18DEL01,18.615145,73.833767,03-04-2022,14:15,14:25,High,Snack,1.0,Urban,10,1
0x1609,PUNERES02DEL01,18.570107,73.852442,17-03-2022,15:25,15:40,Medium,Drinks,2.0,Metropolitian,17,2
0x837c,PUNERES14DEL02,18.553048,73.887474,03-03-2022,21:55,22:10,Jam,Meal,1.0,Metropolitian,28,2
0x2558,PUNERES17DEL01,18.615283,73.939778,04-03-2022,23:30,23:45,Low,Snack,1.0,Metropolitian,19,0
0x4460,PUNERES09DEL02,18.544576,73.909237,07-03-2022,08:50,08:55,Low,Snack,1.0,Metropolitian,18,2
0x1ec7,PUNERES05DEL03,18.560594,73.936274,09-03-2022,,23:40,Low,Snack,1.0,,19,2
0x5397,PUNERES18DEL01,18.644823,73.858511,31-03-2022,17:20,17:25,Medium,Buffet,2.0,Metropolitian,33,1
0x63a9,PUNERES17DEL03,18.563705,73.887811,03-03-2022,0.791666667,19:05,Medium,Buffet,2.0,Urban,11,2
0x7a1f,PUNERES19DEL03,18.631113,74.002881,31-03-2022,21:40,21:55,Jam,Snack,3.0,Metropolitian,46,0
0x46fd,PUNERES09DEL03,18.573134,73.959955,11-03-2022,19:35,19:40,Jam,Meal,2.0,Metropolitian,25,0
0x5912,PUNERES18DEL01,18.588388,73.789206,19-03-2022,0.458333333,11:15,Low,Drinks,2.0,Metropolitian,19,1
0x1b50,PUNERES16DEL01,18.633735,73.932886,08-03-2022,,21:25,,Buffet,2.0,Urban,43,0
0x4db,PUNERES02DEL03,18.587602,73.868506,05-03-2022,,22:05,Jam,Meal,1.0,Urban,12,2
0x9e8a,PUNERES05DEL02,18.607635,73.979819,23-03-2022,17:10,17:15,Medium,Snack,2.0,Urban,16,0
0x970a,PUNERES12DEL02,18.549488,73.880154,09-03-2022,20:30,20:35,Jam,Buffet,2.0,Metropolitian,30,2
0x9bf9,PUNERES19DEL01,18.57996,73.954682,05-03-2022,0.666666667,16:05,Medium,Drinks,2.0,Metropolitian,37,0
0x2185,PUNERES12DEL01,18.618146,73.942087,02-03-2022,22:55,23:05,Low,Snack,2.0,Metropolitian,26,0
0xa64c,PUNERES12DEL01,18.5179,73.838509,21-03-2022,10:15,10:20,Low,Meal,1.0,Metropolitian,25,2
0x7725,PUNERES12DEL01,18.601962,73.947358,25-03-2022,20:30,20:40,Jam,Meal,2.0,Metropolitian,31,0
0x6edb,PUNERES06DEL01,18.641764,74.0184,10-03-2022,18:40,18:55,Medium,Meal,1.0,Metropolitian,31,0
0x1db4,PUNERES17DEL03,18.573954,73.883313,21-03-2022,22:50,0.958333333,Low,Meal,2.0,Metropolitian,28,2
0x4ac4,PUNERES11DEL03,18.595101,73.984073,02-04-2022,19:35,19:40,Jam,Snack,2.0,Metropolitian,30,0
0x7573,PUNERES19DEL02,18.632291,73.994925,23-03-2022,23:30,23:35,Low,Buffet,2.0,Metropolitian,19,0
0xa20a,PUNERES13DEL03,18.628137,74.010698,10-03-2022,23:45,23:55,Low,Drinks,1.0,Metropolitian,28,0
0x5561,PUNERES010DEL01,18.594778,73.970517,10-03-2022,0.875,21:05,Jam,Drinks,2.0,Urban,35,0
0xbbc6,PUNERES04DEL01,18.601142,73.948553,06-04-2022,23:20,23:30,Low,Buffet,2.0,Metropolitian,16,0
0x6436,PUNERES07DEL01,18.630436,74.016715,27-03-2022,21:30,21:40,Jam,Buffet,2.0,Metropolitian,34,0
0xa3a6,PUNERES04DEL03,18.588767,73.935856,18-03-2022,17:15,17:30,Medium,Snack,2.0,Metropolitian,36,0
0x57ce,PUNERES11DEL02,18.558865,73.955936,17-03-2022,23:45,1,Low,Drinks,2.0,Metropolitian,24,2
0x7096,PUNERES01DEL03,18.607119,73.83556,11-03-2022,0.958333333,23:15,Low,Meal,2.0,Urban,21,1
0x9b27,PUNERES18DEL03,18.608383,73.81267,28-03-2022,19:10,19:15,Jam,Buffet,2.0,Metropolitian,11,1
0x56aa,PUNERES15DEL01,18.632271,73.755372,03-03-2022,08:20,08:30,Low,Meal,1.0,Urban,24,1
0xa635,PUNERES14DEL01,18.574896,73.920151,25-03-2022,23:40,23:50,Low,Meal,1.0,Metropolitian,33,2
0xa077,PUNERES02DEL01,18.594396,73.881633,20-03-2022,19:40,19:55,Jam,Meal,3.0,Metropolitian,45,2
0x7b54,PUNERES010DEL01,18.596233,73.966664,23-03-2022,22:35,22:45,Low,Meal,2.0,Urban,13,0
0x4cce,PUNERES12DEL01,18.504184,73.836397,09-03-2022,0.5,12:15,High,Snack,2.0,Metropolitian,10,2
0x2c5a,PUNERES19DEL02,18.680785,74.042729,04-03-2022,22:20,22:25,Low,Buffet,2.0,Metropolitian,37,0
0x41f5,PUNERES12DEL02,18.519533,73.856122,09-03-2022,08:35,08:50,Low,Meal,1.0,Metropolitian,16,2
0x53e7,PUNERES06DEL02,18.657343,74.036475,06-04-2022,19:55,20:05,Jam,Meal,2.0,Metropolitian,26,0
0x2668,PUNERES09DEL01,18.559381,73.941745,05-03-2022,16:35,16:50,Medium,Meal,1.0,Metropolitian,14,2
0xb9d7,PUNERES02DEL01,18.542686,73.813253,19-03-2022,10:55,11:10,Low,Drinks,2.0,Urban,19,2
0xae81,PUNERES15DEL01,18.66238,73.78542,24-03-2022,13:20,13:35,High,Drinks,2.0,Metropolitian,21,1
0x96c3,PUNERES15DEL01,18.693393,73.814182,10-03-2022,18:25,18:30,Medium,Snack,3.0,Metropolitian,36,1
0x9bfd,PUNERES09DEL02,18.565985,73.953033,07-03-2022,19:20,19:25,Jam,Meal,2.0,Metropolitian,25,0
0x340d,PUNERES07DEL02,18.574566,73.952853,26-03-2022,18:20,18:35,Medium,Meal,1.0,Metropolitian,25,0
0xb76a,PUNERES06DEL03,18.589356,73.972636,07-03-2022,18:25,18:30,Medium,Buffet,2.0,Metropolitian,18,0
0x44bc,PUNERES02DEL02,18.657592,73.938254,12-03-2022,18:15,18:30,Medium,Snack,2.0,Metropolitian,22,0
0x218d,PUNERES12DEL01,18.518926,73.84591,28-03-2022,09:20,09:30,Low,Drinks,1.0,Metropolitian,16,2
0xafd7,PUNERES17DEL03,18.533722,73.853136,26-03-2022,23:50,24:05:00,Low,Snack,2.0,Metropolitian,23,2
0x293c,PUNERES08DEL03,18.565295,73.962815,01-04-2022,18:30,18:45,Medium,Buffet,2.0,Metropolitian,33,0
0x8fb2,PUNERES15DEL02,18.692452,73.832022,12-03-2022,21:20,21:30,Jam,Meal,2.0,Urban,33,1
0x8a34,PUNERES010DEL01,18.533966,73.907584,05-03-2022,10:25,10:30,Low,Snack,2.0,Urban,28,2
0x917f,PUNERES12DEL01,18.562593,73.899669,14-03-2022,17:15,17:30,Medium,Buffet,3.0,Metropolitian,36,2
0x728a,PUNERES02DEL01,18.539263,73.814563,11-03-2022,11:10,11:20,High,Buffet,1.0,Metropolitian,35,2
0x3e82,PUNERES06DEL02,18.66117,74.03017,25-03-2022,19:25,19:40,Jam,Drinks,2.0,Urban,24,0
0x323a,PUNERES15DEL03,18.707686,73.833183,31-03-2022,22:50,22:55,Low,Drinks,1.0,Metropolitian,18,1
0x8cb2,PUNERES02DEL01,18.569831,73.849754,26-03-2022,12:20,12:25,High,Snack,1.0,Metropolitian,21,2
0x5d92,PUNERES09DEL03,18.597936,73.986913,06-03-2022,21:20,21:35,Jam,Buffet,1.0,Metropolitian,38,0
0x8c7b,PUNERES04DEL01,18.53029,73.87001,15-03-2022,16:45,16:50,Medium,Meal,2.0,Urban,14,2
0x9ea4,PUNERES20DEL02,18.616985,73.83084,03-03-2022,18:30,18:40,Medium,Buffet,2.0,Metropolitian,19,1
0x1740,PUNERES05DEL01,18.565127,73.943544,15-03-2022,16:15,16:20,Medium,Buffet,1.0,Metropolitian,19,2
0x8753,PUNERES17DEL01,18.527242,73.831383,03-03-2022,10:10,10:20,Low,Buffet,1.0,Urban,10,2
0x9247,PUNERES16DEL02,18.604153,73.901543,06-03-2022,19:35,19:40,Jam,Buffet,2.0,Metropolitian,41,2
0x93ef,PUNERES08DEL02,18.563683,73.951402,03-03-2022,20:25,20:35,Jam,Drinks,1.0,Metropolitian,17,2
0xa6f9,PUNERES09DEL02,18.644701,74.030966,27-03-2022,19:40,19:50,Jam,Snack,2.0,Urban,32,0
0x3419,PUNERES02DEL03,18.560965,73.831409,13-03-2022,20:45,0.875,Jam,Buffet,2.0,Metropolitian,27,2
0x9782,PUNERES010DEL03,18.544103,73.919095,28-03-2022,19:15,19:20,Jam,Drinks,2.0,Metropolitian,20,2
0x699a,PUNERES010DEL02,18.571068,73.943135,17-03-2022,18:25,18:30,Medium,Meal,1.0,,21,2
0x124a,PUNERES11DEL03,18.544535,73.921054,11-03-2022,17:35,17:50,Medium,Drinks,1.0,Metropolitian,30,2
0xbe42,PUNERES07DEL03,18.563151,73.927298,03-03-2022,23:10,23:15,Low,Drinks,1.0,Metropolitian,27,2
0xa8d7,PUNERES12DEL03,18.554607,73.896589,01-04-2022,17:30,17:35,Medium,Snack,2.0,Metropolitian,16,2
0xa0b9,PUNERES07DEL03,18.623304,73.996087,18-03-2022,22:10,22:25,Low,Meal,2.0,Urban,24,0
0x4c2f,PUNERES19DEL03,18.580347,73.944001,07-03-2022,19:30,19:35,Jam,Snack,2.0,Urban,10,0
0xb849,PUNERES13DEL02,18.601407,73.958281,30-03-2022,22:40,22:55,Low,Drinks,1.0,Urban,10,0
0x81d7,PUNERES16DEL02,18.559502,73.883146,19-03-2022,22:35,22:45,Low,Drinks,1.0,Metropolitian,12,2
0xa22d,PUNERES14DEL01,18.498214,73.85489,17-03-2022,11:40,11:55,High,Drinks,1.0,Urban,13,2
