ID,Delivery_person_ID,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Weather_conditions,Road_traffic_density,order_freq,Time_taken (min)
0x2784,PUNERES13DEL03,18.56245,73.916619,18.65245,74.006619,Sandstorms,Medium,2.0,21
0x689b,PUNERES20DEL01,18.592718,73.773572,18.702718,73.883572,Sandstorms,Jam,2.0,40
0x36b8,PUNERES19DEL02,18.563934,73.915367,18.643935,73.995367,Sandstorms,Jam,3.0,36
0x3c5e,PUNERES04DEL01,18.51421,73.838429,18.62421,73.948429,Windy,Low,1.0,12
0x30c8,PUNERES19DEL02,18.563934,73.915367,18.693935,74.045367,Cloudy,Low,2.0,30
0xb843,PUNERES02DEL01,18.55144,73.804855,18.62144,73.874855,Sunny,Medium,2.0,22
0xb3a0,PUNERES18DEL01,18.593481,73.785901,18.633481,73.825901,Windy,High,1.0,10
0x1609,PUNERES02DEL01,18.55144,73.804855,18.59144,73.844855,Fog,Medium,2.0,17
0x837c,PUNERES14DEL02,18.516216,73.842527,18.566216,73.892527,Stormy,Jam,1.0,28
0x2558,PUNERES17DEL01,18.530963,73.828972,18.640963,73.938972,Windy,Low,1.0,19
0x4460,PUNERES09DEL02,18.536562,73.896485,18.556562,73.916485,Fog,Low,1.0,18
0x1ec7,PUNERES05DEL03,18.543626,73.905101,18.573626,73.935101,Stormy,Low,1.0,19
0x5397,PUNERES18DEL01,18.593481,73.785901,18.663481,73.855901,Windy,Medium,2.0,33
0x63a9,PUNERES17DEL03,18.530963,73.828972,18.590963,73.888972,Fog,Medium,2.0,11
0x7a1f,PUNERES19DEL03,18.563934,73.915367,18.653934,74.005367,Fog,Jam,3.0,46
0x46fd,PUNERES09DEL03,18.536562,73.896485,18.596562,73.956485,Cloudy,Jam,2.0,25
0x5912,PUNERES18DEL01,18.593481,73.785901,18.603481,73.795901,Sunny,Low,2.0,19
0x1b50,PUNERES16DEL01,18.536718,73.830327,18.646718,73.940327,Clear,Medium,2.0,43
0x4db,PUNERES02DEL03,-18.55144,-73.804855,18.61144,73.864855,Stormy,Jam,1.0,12
